Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,lat,lng
10 rue de Bruxelles 9th arr 75009 Paris France,56,9/6/2015,9.3,Maison Souquet, Very small hotel Small room Location is in the middle of the red light district ,17,282, History about the hotel location Montmart Cosy Hotel ,10,1,9.2,"[' Leisure trip ', ' Couple ', ' Junior Suite with Private Access to Pool and Spa ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.88366,2.3313845
1 Rue De Libourne 12th arr 75012 Paris France,150,9/5/2016,8.7,Pullman Paris Centre Bercy, Not much We drove this time and parking charges are quite high in the nearby public car park so a deal for hotel guests would be nice ,29,1382, I have stayed at the Pullman a number of times and always enjoy the experience Staff are very friendly and attentive I tried the hotel breakfast for the first time during this visit and really enjoyed it great selection and quality With the nearby restaurants cinema park and quick access to the rest of Paris on the metro it remains a great base to enjoy Paris from ,69,40,9.6,"[' Leisure trip ', ' Couple ', ' Classique Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8315204,2.3870797
10 12 rue de Charonne 11th arr 75011 Paris France,84,9/5/2016,8.9,Hotel L Antoine, Nothing,2,796, Beautiful room Great attention to detail Free afternoon snacks,10,2,9.6,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8524215,2.3743832
1 Rue De Libourne 12th arr 75012 Paris France,150,9/5/2015,8.7,Pullman Paris Centre Bercy, quite far from all attractions places,7,1382, every things accept the receptions staff they are rude,10,24,7.1,"[' Leisure trip ', ' Couple ', ' Classique Double Room ', ' Stayed 4 nights ']",48.8315204,2.3870797
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,9/5/2015,8.2,Gardette Park Hotel, More breakfast options Please ,6,1011, Bed was confortable always clean towels location close to all front desk Mrs Helena friendly always willing to help with my adventure through Paris Yes I will recommend Gardette Park Hotel ,33,1,9.6,"[' Leisure trip ', ' Family with older children ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8610265,2.3788974
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/5/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, 4 person suite expensive more than cost of two twins and only a double and sofa bed in same room not really a suite at all Breakfast too expensive use a cafe 100 away Next door to a 24hr Sex Shop though some might like that ,48,2200, Clean and good beds Easy access to Metro,9,9,7.1,"[' Leisure trip ', ' Family with older children ', ' King Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,18,9/4/2016,8.3,Hotel Tour d Auvergne Opera, Bathroom was tiny ended up with my knees against the bathtub,12,164, Got upgraded to a great premium room ,9,6,8.3,"[' Business trip ', ' Solo traveler ', ' Club Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8789432,2.3448623
108 Rue Saint Lazare 8th arr 75008 Paris France,65,9/4/2016,8.4,Hilton Paris Opera, The rooms are beautifully decorated but rather small the bathroom is tiny but this is Paris and that is not unusual ,23,458, After a long 26 hour journey from Western Australia we were delighted to be given early access to our room at 9am rather than wait until the 3pm checkin It was very much appreciated The recently renovated Grand Salon is a magnificent space to have a coffee or a wine and tapas We also really enjoyed the breakfast ,60,6,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8756604,2.3252075
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/4/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, The room is a litle bit small,8,2200, Great location Near MRT Basttile square with many shop restaurant Will stay here if come back to Paris,19,2,8.3,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/30/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, paris rooms are small and this was ok but still small ,13,2200, Bar area lounge You can open the room windows and it was reasonably quiet,15,4,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
10 rue Lamartine 9th arr 75009 Paris France,42,9/30/2015,8.8,Les Plumes Hotel, the bill charged me with a bottle of champagne on arrival which we didn t receive The holiday was to celebrate my wifes 70th birthday toilet extremely small Beds small ,32,514, friendly helpful staff good shower room cafe across the street,11,1,5.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 7 nights ']",48.8766269,2.3432886
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/3/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, Some rubbish were left in the bin from the previous guest ,13,2200, It was very quiet and calm even in such close proximity of the Gare de Lyon the staff was very very helpful and friendly ,26,1,8.8,"[' Leisure trip ', ' Family with young children ', ' King Room Non Smoking ', ' Stayed 1 night ']",48.8468064,2.3714789
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/29/2016,8.9,Select Hotel, Elevator finds it hard to cope in busy periods e g morning checkout time ,16,1145, Cleanliness efficiency of staff good value breakfast Quiet rooms despite location of hotel in buzzing student quarter,18,3,9.2,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ']",48.8483053,2.3425596
1 rue Geoffroy Marie 9th arr 75009 Paris France,40,9/29/2016,8.6,Hotel Panache, No hair dryer in my room though I asked it for the second night,15,371, Great bed calm room big bathroom,7,2,8.8,"[' Business trip ', ' Solo traveler ', ' Classic Single Room ', ' Stayed 2 nights ']",48.8732543,2.343239
10 rue Gager Gabillot 15th arr 75015 Paris France,27,9/29/2015,7.1,Holiday Inn Paris Montparnasse Pasteur, worn down mold on the bathtub no warm water in the 8th floor after complaining we got a room in 3rd floor with a new bathroom Service in the breakfast room terrible on the weekend,36,344, Friendly staff nice location,5,4,5.4,"[' Business trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",48.8376887,2.3063102
102 Bd De Grenelle 15th arr 75015 Paris France,241,9/29/2015,8.6,Le Parisis Paris Tour Eiffel, Asked for an iron and did not get an iron board so had to iron clothes on a table in the room Breakfast was expensive but did not have a lot to choose from,35,1477, Hotel location is excellent 5 minutes from Eiffel Tower about 200 yards from nearest metro and supermarket The hotel is beautiful very clean comfortable and staff are always happy to help,32,2,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8494851,2.2955063
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/28/2016,8.9,Select Hotel, Breakfeast could be a bit more than just continental ,11,1145, Elegant and modern interior All needs were satisfied ,10,5,9.2,"[' Business trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 1 night ']",48.8483053,2.3425596
10 rue Saint Philippe du Roule 8th arr 75008 Paris France,43,9/28/2015,9.1,Bradford Elys es Astotel, Smallish Rooms ,4,234, Good location Rooms smaller than the pictures taken with wide lenses suggest Expected it the place to be much more lavish based on the pictures ,27,1,6.7,"[' Leisure trip ', ' Family with older children ', ' Standard Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8729676,2.3081178
10 Bis rue du D barcad re 17th arr 75017 Paris France,26,9/27/2016,9.2,Hotel Le 10 BIS, Nothing ,3,196, Everything was exceptional The staff were helpful friendly and ensured we felt welcome The room was clean and comfortable and modern Deserves more then 5 stars ,28,1,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8780363,2.2864907
1 3 Rue d Argentine 16th arr 75116 Paris France,26,9/27/2015,8.4,Monhotel Lounge SPA, room is small price is too high compare with the equipment and service for the room i booked ,20,171, good location helpful staff,5,6,8.8,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8743481,2.2897334
1 Impasse Marteau 18th arr 75018 Paris France,91,9/27/2015,7.4,Novotel Suites Paris Nord 18 me, Nothing other than the venue ,7,1082, It was 400 meters from the venue where I was working Perfect for that ,16,8,7.5,"[' Business trip ', ' Solo traveler ', ' Superior Suite with 1 Double Bed and 1 Single Bed ', ' Stayed 2 nights ']",48.9015941,2.3597783
10 rue Lamartine 9th arr 75009 Paris France,42,9/27/2015,8.8,Les Plumes Hotel, Room was kind of small but typical for Paris ,11,514, It was in a great location The rooms were nicely appointed and the lobby with drinks breakfast was a nice touch ,23,11,9.2,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 1 night ']",48.8766269,2.3432886
102 Bd De Grenelle 15th arr 75015 Paris France,241,9/27/2015,8.6,Le Parisis Paris Tour Eiffel, Danger and unsafty left Poor wifi The room was feeling wet Therefore I was sick next day Very expensive and don t deserve it ,26,1477, Clean room and staff ,6,30,5.8,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8494851,2.2955063
102 Bd De Grenelle 15th arr 75015 Paris France,241,9/27/2015,8.6,Le Parisis Paris Tour Eiffel, Small rooms No lock in the bathroom Very costly,10,1477, 15 mints Walking to Eiffel tower Markets near Metro station near,12,6,4.2,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8494851,2.2955063
10 rue de Bruxelles 9th arr 75009 Paris France,56,9/26/2016,9.3,Maison Souquet, The pool wasen t heated,6,282, Amazing staff Very clean Beautiful interior,7,3,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Private Access to Pool and Spa ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.88366,2.3313845
11 Rue de l Arcade 8th arr 75008 Paris France,80,9/26/2016,8.1,Op ra Marigny, The room service ordered the wrong food and forgot an item took a long time to fix and I ended up giving up ,25,735, I got one of their biggest rooms for a really amazing price ,14,1,9.2,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ']",48.871723,2.3235377
11 rue de Tr vise 9th arr 75009 Paris France,111,9/26/2016,8.3,H tel Diva Opera, I did not like the balcony not a nice view and a shame you could not really go into it I could not see any clear access to any garden Space wise it could definetly have been bigger Not enough room outside of the bed ,47,1353, I liked the staff very friendly polite and helpful the room was nice with the hygiene details like the bags and the cleanliness of the bathroom The lighting and general layout was good It had a cosy feel but could have been bigger Kettle with complimentary tea was a nice touch ,53,1,8.3,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8732706,2.3450746
1 rue Geoffroy Marie 9th arr 75009 Paris France,40,9/25/2016,8.6,Hotel Panache, ,2,371, Everything is very good Especially balcony with little table and chairs for breakfast Good location,16,3,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8732543,2.343239
10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,9/25/2016,8.6,H tel Juliana Paris, Room a bit small Too dark at night in the room Didn t like the scent in the lobby at first but then I got used to it XD ,31,577, Beautiful decor everywhere Big bathroom Sweet receptionist girl Fast wifi Comfortable bed ,14,18,7.9,"[' Leisure trip ', ' Travelers with friends ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8619373,2.3040298
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/25/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Security of hotel very poor Lost baggage from reception Loss was over 100 000 inr worth ,18,2200, All generally good ,5,17,7.9,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 6 nights ']",48.8468064,2.3714789
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,9/24/2016,8.2,Gardette Park Hotel, There was not one thing to NOT like,9,1011, Everything beautiful hotel overlooking park and close to metro and just a beautiful hotel,15,8,10,"[' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8610265,2.3788974
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,9/24/2015,8.2,Gardette Park Hotel, Breakfast is really basic and could be improved easily ,11,1011, Good location with convenient access to subway station quite environment and rooms with reasonnable size for Paris Very clean and confortable ,23,84,8.8,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",48.8610265,2.3788974
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/24/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, A bit far from the center attractions but no big deal with the metro,15,2200, Amenities were good close to Gare de Lyon and good restaurants,12,3,8.8,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/24/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, Adult book store next door ,7,2200, A short walk to the Garre De Lyon train station ,12,1,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/23/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, The constant interruption in my sleep by housekeeping,9,2200, I loved the location,5,9,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']",48.8468064,2.3714789
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/23/2015,8.9,Select Hotel, No room service no bar,6,1145, Good location beautiful hotel but lacks warmth and atmosphere ,11,1,5.8,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8483053,2.3425596
1 Rue Sainte Opportune 1st arr 75001 Paris France,61,9/22/2015,7.7,H tel des Ducs D Anjou, Can be a little noisy shower not brilliant,9,552, Good location Good food area Nice room Friendly staff,10,1,7.9,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8598229,2.347111
10 Place De La R publique 11th arr 75011 Paris France,141,9/22/2015,8,Crowne Plaza Paris R publique, There is only one bottle of complimentary mineral water for a twin bedroom The bedroom is a bit small ,21,1053, Centrally located and within short walking distance to the metro station,12,1,7.9,"[' Leisure trip ', ' Group ', ' Standard Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8673199,2.3656296
10 Place De La R publique 11th arr 75011 Paris France,141,9/22/2015,8,Crowne Plaza Paris R publique, We asked for a quiet room which was non smoking we had neither The room was so noisey that we didn t sleep a wink either night,28,1053, Central location,3,3,3.3,"[' Leisure trip ', ' Group ', ' Superior Room with 2 Double Beds ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8673199,2.3656296
10 Rue Kepler 16th arr 75016 Paris France,77,9/22/2015,9.1,H tel Keppler, Nothing ,3,338, Beautiful hotel attentive staff great location ,8,3,9.6,"[' Leisure trip ', ' Couple ', ' Suite 2 Adults ', ' Stayed 2 nights ']",48.8699103,2.2973386
10 rue Saint Hyacinthe 1st arr 75001 Paris France,43,9/22/2015,8.1,Hotel des Tuileries Relais du Silence, The TV did not work at all for our 3 night stay,13,446, Happy hour the location and the staff,8,5,9.6,"[' Leisure trip ', ' Group ', ' Cosy Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8661705,2.331561
102 Avenue de Villiers 17th arr 75017 Paris France,100,9/22/2015,8.8,Amp re, Didn t have teh 19 50 breakfast went to local cafe for 5 80 instead,16,998, Clean quiet close to metro had all the facilities we needed,12,3,3.5,"[' Leisure trip ', ' Couple ', ' Premium Double Room ', ' Stayed 3 nights ']",48.8848583,2.2997023
10 rue de Vaugirard 6th arr 75006 Paris France,83,9/21/2015,8.3,Le Senat, Misleading advertising no restaurant in the hotel Air conditioning not being fixed on time had to change the room from a superior one to a mediocre one at best Short staffed tiny lobby small elevators,36,549, Friendly accommodating staff,4,1,6.3,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 2 nights ']",48.8491427,2.3397118
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/20/2016,8.9,Select Hotel, No minibar in the small room,7,1145, Bed was so comfy breakfast was yummy hotel is so trendy loved the glass attic,16,4,7.9,"[' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8483053,2.3425596
102 Bd De Grenelle 15th arr 75015 Paris France,241,9/20/2016,8.6,Le Parisis Paris Tour Eiffel, leaving,2,1477, everything and what a view,6,3,10,"[' Leisure trip ', ' Couple ', ' Double Room with Eiffel Tower View ', ' Stayed 1 night ']",48.8494851,2.2955063
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/20/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, no bath no milk for tea just creamif you need milk you have to pay english poeple like milk not what you would get from hoilday inn,28,2200, clean room,3,2,4.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",48.8468064,2.3714789
10 Place De La R publique 11th arr 75011 Paris France,141,9/20/2015,8,Crowne Plaza Paris R publique, Toilets need improvents,4,1053, History of the place,5,10,8.8,"[' Business trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 5 nights ']",48.8673199,2.3656296
10 rue Saint Hyacinthe 1st arr 75001 Paris France,43,9/20/2015,8.1,Hotel des Tuileries Relais du Silence, Some housekeepers not terribly friendly,6,446, Great location Really comfortable rooms ,7,1,9.2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8661705,2.331561
1 Rue De Libourne 12th arr 75012 Paris France,150,9/2/2016,8.7,Pullman Paris Centre Bercy, Do dog friendly park nearby,6,1382, Bercy a revelation wonderful lively area with great food ,11,21,9.6,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Classique Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8315204,2.3870797
10 rue d Ormesson 4th arr 75004 Paris France,27,9/2/2016,9,H tel de Jos phine BONAPARTE, The staff was a little weird ,8,240, Great eclectic feel to the place Rooms were comfortable and sizable especially for Paris The bathrooms were incredible ,20,2,8.3,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ']",48.8555319,2.3621212
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/2/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, no coffee but kettle and tea,7,2200, convenient location efficient well run hotel helpful staff,9,7,7.5,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']",48.8468064,2.3714789
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/2/2015,8.9,Select Hotel, The shower fittings were very shiny and hard to grip but I gather they are to be replaced in September The overhead shower there was a hand grip shower as well tended to flood the whole bathroom as there was no lip to keep the water inside the shower staff ,52,1145, Almost everything location staff breakfast the room the bathroom ,11,11,9.6,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 6 nights ']",48.8483053,2.3425596
108 Rue Saint Lazare 8th arr 75008 Paris France,65,9/2/2015,8.4,Hilton Paris Opera, Check in took a while as front desk got the charges wrong and credit card authorisation failures No swimming pool,21,458, Friendly and helpful staff Excellent room comfort very good facilities and restaurant executive lounge ,16,1,8.8,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 5 nights ']",48.8756604,2.3252075
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/19/2016,8.9,Select Hotel, Breakfast was just ok could have included eggs but that s very minor,14,1145, Beautiful rooms with a great view from the small balcony Latest facilities TV in the bathroom Super big comfy bed Very friendly staff and great location ,28,6,9.2,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ']",48.8483053,2.3425596
1 Rue De Libourne 12th arr 75012 Paris France,150,9/19/2016,8.7,Pullman Paris Centre Bercy, The breakfast was not good and same every morning,10,1382, Everything was nice but there was no welcoming toy for the kids,13,4,8.8,"[' Leisure trip ', ' Family with young children ', ' Family Room Two connecting Rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8315204,2.3870797
11 rue de Tr vise 9th arr 75009 Paris France,111,9/19/2016,8.3,H tel Diva Opera, Location could have been better but not too far from the metro I contacted the hotel prior to our arrival as I was trying to arrange a bottle of champagne to be delivered the morning of her 18 th birthday but they never even acknowledged the emails in the end I decided not to pursue as it was not worth the effort they knew it was her birthday as they wished her happy birthday on check in so had obv received emails with request just a little niggle that annoyed me It overall hotel fine,96,1353, Hotel lovely staff lovely breakfast certainly not worth paying extra for but overall pretty good hotel for the money,20,3,7.1,"[' Leisure trip ', ' Family with young children ', ' Superior Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8732706,2.3450746
10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,9/19/2015,8.6,H tel Juliana Paris, Wifi,2,577, English spoken,3,3,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8619373,2.3040298
10 rue Gager Gabillot 15th arr 75015 Paris France,27,9/19/2015,7.1,Holiday Inn Paris Montparnasse Pasteur, The room lighting was dark and the TV didn t work ,13,344, Hotel staff was nice and the bed and bathroom was clean ,13,5,7.1,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 1 night ']",48.8376887,2.3063102
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/18/2016,8.9,Select Hotel, Minor things the lift was a bit small there were no English language channels available and sometimes they were a bit slow replenishing hot foods at breakfast ,29,1145, Clever design made use of a small space so we never felt uncomfortable or cramped in the room Good hanging and storage space luxurious bathroom Generous breakfast buffet with a varied range of foods and helpful staff at reception The location is perfect for exploring Paris on foot or by Metro Very good value for money We would stay here again ,63,53,10,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 4 nights ']",48.8483053,2.3425596
10 Bis rue du D barcad re 17th arr 75017 Paris France,26,9/18/2016,9.2,Hotel Le 10 BIS, Breakfast was overpriced ,5,196, Charming Boutique Hotel great staff and exceptionally clean,9,8,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8780363,2.2864907
1 Rue Sainte Opportune 1st arr 75001 Paris France,61,9/18/2015,7.7,H tel des Ducs D Anjou, Toilet wouldn t flush ,6,552, It was in a fabulous location and my room was cozy and clean ,15,1,10,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 2 nights ']",48.8598229,2.347111
